Title,Rating,Voting,Duration
43. Monkey Man,6.8, (92K),2h 1m
44. Aftermath,5.1, (4K),1h 37m
45. The Killer's Game,5.8, (17K),1h 44m
46. The Instigators,6.2, (38K),1h 41m
47. Beverly Hills Cop: Axel F,6.4, (81K),1h 58m
48. Lift,5.5, (49K),1h 47m
49. Gunner,3.2, (2.7K),1h 46m
50. Classified,3.7, (2.6K),1h 45m
51. Blitz,6.2, (16K),2h
52. Uglies,4.7, (33K),1h 40m
53. Maharaja,8.4, (67K),2h 21m
54. The Killer,5.7, (13K),2h 6m
55. Old Guy,5.2, (2.4K),1h 34m
56. Drive-Away Dolls,5.4, (23K),1h 24m
57. Attack on Titan the Movie: The Last Attack,9.2, (16K),2h 25m
58. Thelma,7.0, (23K),1h 38m
59. Atlas,5.6, (56K),1h 58m
60. Azrael,5.4, (11K),1h 26m
61. Descendants: The Rise of Red,4.7, (7K),1h 31m
62. Arcadian,5.5, (23K),1h 32m
63. Toofan,7.4, (8.1K),2h 25m
64. Watchmen: Chapter I,7.1, (6.6K),1h 23m
65. Marco,6.8, (21K),2h 25m
66. Apocalypse Z: The Beginning of the End,6.1, (20K),1h 57m
67. Dirty Angels,4.3, (3.4K),1h 44m
68. Canary Black,5.3, (12K),1h 41m
69. Cash Out,4.8, (3K),1h 32m
70. Trigger Warning,4.6, (19K),1h 46m
71. Under Paris,5.2, (36K),1h 44m
72. Kalki 2898 AD,7.0, (67K),3h
73. Armor,3.5, (4.1K),1h 29m
74. Long Gone Heroes,5.2, (1.1K),1h 41m
75. Trouble,6.2, (6.9K),1h 38m
76. Rebel Moon - Part Two: The Scargiver,5.3, (59K),2h 2m
77. Jackpot!,5.8, (30K),1h 46m
78. 11 Rebels,6.3, (424),2h 35m
79. Twilight of the Warriors: Walled In,7.0, (9.5K),2h 6m
80. Brothers,5.4, (13K),1h 29m
81. Amaran,8.1, (19K),2h 47m
82. The Shadow Strays,6.5, (9.2K),2h 24m
83. Duchess,4.6, (1.4K),1h 54m
84. The Silent Hour,6.1, (7.5K),1h 39m
85. The Fix,4.6, (1.2K),1h 38m
86. Red Right Hand,5.5, (5.9K),1h 51m
87. Weekend in Taipei,5.7, (4.7K),1h 40m
88. Hitpig,5.1, (945),1h 26m
89. Alien: Rubicon,2.4, (344),1h 26m
90. Watchmen: Chapter II,7.0, (3.1K),1h 30m
91. Hounds of War,4.5, (1.8K),1h 35m
92. Harbin,6.2, (664),1h 48m
93. Fighter,6.2, (52K),2h 46m
94. Uprising,6.6, (5.6K),2h 6m
95. No Way Up,4.6, (11K),1h 30m
96. Boneyard,4.1, (5K),1h 36m
97. Role Play,5.5, (19K),1h 40m
98. Hagen,6.0, (1.2K),2h 19m
99. Cloud,6.3, (1.2K),2h 4m
100. Damaged,4.7, (7.3K),1h 37m
101. Bangkok Dog,4.8, (202),1h 25m
102. Megamind vs. The Doom Syndicate,2.5, (5.6K),1h 23m
