Title,Rating,Voting,Duration,Duration (min),Genre
Cesium Fallout,6.4,,2h 16m,136,Action
Dark Match,5.4,,1h 34m,94,Action
Latency,4.2,,1h 34m,94,Action
Article 370,7.8,,2h 38m,158,Action
The Family Star,5.4,,2h 39m,159,Action
Life After Fighting,6.4,,2h 6m,126,Action
Kill Em All 2,4.1,,1h 28m,88,Action
One Fast Move,5.0,,1h 48m,108,Action
40 Acres,6.9,,1h 53m,113,Action
Rogue Elements: A Ryan Drake Story,4.7,,44m,44,Action
Murder Company,3.7,,1h 26m,86,Action
Elyas,6.1,,1h 45m,105,Action
Justice League: Crisis on Infinite Earths - Part Two,5.5,,1h 34m,94,Action
Bougainvillea,6.4,,2h 18m,138,Action
200% Wolf,5.9,,1h 38m,98,Action
Savi,6.1,,2h 6m,126,Action
Handsome Guys,6.5,,1h 41m,101,Action
Lights Out,4.9,,1h 30m,90,Action
Rifle Club,7.0,,1h 53m,113,Action
Angels Fallen: Warriors of Peace,4.9,,1h 43m,103,Action
The Greatest of All Time,5.7,,3h 3m,183,Action
Alienoid: The Return to the Future,6.5,,2h 2m,122,Action
Sixty Minutes,5.7,,1h 28m,88,Action
City Hunter,6.3,,1h 42m,102,Action
Vanvaas,6.6,,2h 40m,160,Action
The Twisters,2.5,,1h 26m,86,Action
Panda Plan,5.1,,1h 39m,99,Action
Escape,6.4,,1h 34m,94,Action
Bloody Escape: Bats out of Hell,5.5,,1h 40m,100,Action
The Tiger's Apprentice,5.7,,1h 24m,84,Action
Arena Wars,4.8,,1h 36m,96,Action
Sorgavaasal,6.6,,2h 18m,138,Action
Golden Kamuy,6.3,,2h 7m,127,Action
Overlord: The Sacred Kingdom,6.9,,2h 15m,135,Action
Saripodhaa Sanivaaram,7.0,,2h 46m,166,Action
Agent Recon,2.4,,1h 25m,85,Action
All the Lost Ones,3.7,,1h 46m,106,Action
Heart of the Hunter,4.7,,1h 45m,105,Action
Freedom,5.9,,1h 50m,110,Action
Khadaan,7.1,,2h 17m,137,Action
Agni,7.2,,2h 2m,122,Action
Paradox Effect,6.0,,1h 27m,87,Action
Operation Blood Hunt,3.4,,1h 33m,93,Action
Wynonna Earp: Vengeance,5.6,,1h 36m,96,Action
Everybody Loves Jenifa,8.3,,2h 15m,135,Action
The Last Kumite,4.6,,1h 45m,105,Action
Hijack 1971,6.8,,1h 40m,100,Action
Bade Miyan Chote Miyan,3.8,,2h 43m,163,Action
Die Hart 2: Die Harter,4.3,,1h 32m,92,Action
Outlaw,5.2,,1h 22m,82,Action
Sheriff,6.9,,2h 13m,133,Action
Kahar: Kapla High Council,6.9,,1h 42m,102,Action
Kanguva,4.5,,2h 32m,152,Action
How to Rob a Bank,6.6,,1h 28m,88,Action
Bad Boyz,3.2,,2h 30m,150,Action
Guntur Kaaram,5.4,,2h 39m,159,Action
Yodha,5.7,,2h 10m,130,Action
A.R.M,7.1,,2h 30m,150,Action
Hellhound,4.3,,1h 43m,103,Action
Tales Beyond the Galaxy,4.7,,1h 16m,76,Action
Devil's Knight,5.2,,1h 30m,90,Action
72 Hours,4.1,,1h 27m,87,Action
Nice Girls,4.2,,1h 32m,92,Action
A Legend,4.7,,2h 9m,129,Action
Black Heat,8.5,,1h 33m,93,Action
Bonnie,7.3,,2h,120,Action
Vettaiyan,7.0,,2h 43m,163,Action
The Hangman,3.3,,1h 32m,92,Action
Continental Split,3.6,,1h 28m,88,Action
Chandu Champion,7.8,,2h 22m,142,Action
Mahadev Ka Gorakhpur,7.6,,2h 11m,131,Action
Fight Another Day,4.9,,1h 37m,97,Action
Wanted Man,4.8,,1h 25m,85,Action
Ferry 2,5.6,,1h 34m,94,Action
Ryan's World the Movie: Titan Universe Adventure,1.8,,1h 20m,80,Action
12 to Midnight,3.6,,1h 36m,96,Action
The Last Front,5.5,,1h 38m,98,Action
Bagheera,6.7,,2h 38m,158,Action
The Lockdown,4.3,,1h 57m,117,Action
WWII: Operation Phoenix,6.2,,1h 46m,106,Action
Alien Country,4.4,,1h 36m,96,Action
Snow White and the Seven Samurai,3.2,,1h 28m,88,Action
War of the Worlds: Extinction,3.0,,1h 24m,84,Action
Raayan,6.5,,2h 25m,145,Action
The Firefighters,5.7,,1h 46m,106,Action
Thangalaan,6.6,,2h 36m,156,Action
Drive Back,4.6,,1h 34m,94,Action
Vedaa,6.0,,2h 25m,145,Action
Cells at Work!,6.7,,1h 49m,109,Action
Rats!,6.6,,1h 25m,85,Action
Jacob Tyler,4.3,,2h 13m,133,Action
Dirty Money,5.6,,1h 40m,100,Action
"Love, Courage and the Battle of Bushy Run",5.0,,1h 53m,113,Action
Bionic,4.3,,1h 50m,110,Action
Max,7.1,,2h 12m,132,Action
The Ballad of Davy Crockett,4.6,,1h 36m,96,Action
Mura,7.3,,2h 9m,129,Action
Auron Mein Kahan Dum Tha,6.5,,2h 30m,150,Action
Shark Warning,3.4,,1h 34m,94,Action
Terminator: Skynet Rising,6.7,,1h 28m,88,Action
Citizen of a Kind,6.7,,1h 54m,114,Action
Escape from the 21st Century,6.5,,1h 38m,98,Action
Art of Eight Limbs,4.0,,1h 41m,101,Action
Kingdom 4: Return of the Great General,7.1,,2h 25m,145,Action
Invasion,4.8,,1h 31m,91,Action
Get Fast,3.7,,1h 28m,88,Action
Eagle,5.9,,2h 39m,159,Action
Mission: Cross,6.1,,1h 45m,105,Action
Don't Mess with Grandma,6.0,,1h 21m,81,Action
GTMax,5.0,,1h 40m,100,Action
Bhaiyya Ji,4.8,,2h 30m,150,Action
School of Magical Animals 3,5.8,,1h 45m,105,Action
Naam,6.3,,2h 16m,136,Action
Virunnu,6.9,,2h 5m,125,Action
The Friendly,8.1,,1h 41m,101,Action
Yolo,6.9,,2h 9m,129,Action
Operation Undead,4.6,,1h 50m,110,Action
Stuntman,6.9,,1h 54m,114,Action
5 Pounds of Pressure,6.7,,1h 51m,111,Action
Roadkill,3.7,,1h 30m,90,Action
The Bouncer,4.1,,1h 18m,78,Action
Conquer: Lahad Datu,6.6,,2h,120,Action
Cassino in Ischia,4.4,,1h 53m,113,Action
Martin,2.2,,2h 27m,147,Action
Big City Greens the Movie: Spacecation,6.2,,1h 23m,83,Action
Pimpinero: Blood and Oil,5.6,,2h 1m,121,Action
Tillu Square,6.6,,2h 17m,137,Action
The Last Ronin,4.9,,1h 55m,115,Action
Hunting with Tigers,5.6,,1h 49m,109,Action
Six jours,6.1,,1h 35m,95,Action
Snatched,4.9,,1h 41m,101,Action
Sons of Rizk 3,6.7,,2h 5m,125,Action
Warrior Awang and Master Tok Gajah,4.6,,1h 58m,118,Action
Nothing Even Matters,5.5,,1h 30m,90,Action
Taken from Rio Bravo,3.0,,1h 20m,80,Action
Crakk: Jeetega... Toh Jiyegaa,4.7,,2h 34m,154,Action
No Time to Spy: A Loud House Movie,6.4,,1h 21m,81,Action
American Underdog,8.7,,1h 29m,89,Action
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.1,,2h 54m,174,Action
Ka Whawhai Tonu,7.3,,1h 55m,115,Action
Troubleshooters,6.5,,1h 50m,110,Action
I Heart Robots,4.6,,1h 16m,76,Action
The Charisma Killers,6.2,,1h 41m,101,Action
Yudhra,5.0,,2h 22m,142,Action
UI,6.8,,2h 15m,135,Action
Je Jatt Vigarh Gya,5.6,,2h 12m,132,Action
Spiders on a Plane,5.1,,1h 18m,78,Action
The Moon Thieves,6.1,,1h 48m,108,Action
Deaner '89,5.9,,1h 30m,90,Action
Barroz: Guardian of Treasures,3.5,,2h 35m,155,Action
Nu Huo 12 Xiao Shi,6.0,,1h 26m,86,Action
Non Negotiable,5.4,,1h 27m,87,Action
Big Rage,3.6,,1h 55m,115,Action
Customs Frontline,5.4,,1h 55m,115,Action
Agents,3.3,,1h 22m,82,Action
Sasan,8.7,,2h 35m,155,Action
Razakar: The Silent Genocide of Hyderabad,7.4,,2h 46m,166,Action
Tiger's Trigger,4.2,,1h 24m,84,Action
S.T.A.L.K.E.R.: Shadow of the Zone,5.1,,1h 12m,72,Action
Garudan,7.1,,2h 13m,133,Action
Mongol,8.6,,2h 35m,155,Action
Ghost Killer,7.0,,1h 45m,105,Action
Checkmate,4.3,,1h 44m,104,Action
Rajakili,6.7,,2h 2m,122,Action
Crisis Negotiators,6.7,,2h,120,Action
Baby Assassins: Nice Days,7.3,,1h 43m,103,Action
Lady Scorpions,3.6,,1h 41m,101,Action
The Kingdom,7.9,,2h 13m,133,Action
Mirza: Part 1 - Joker,6.8,,2h 45m,165,Action
Love You to Debt,6.2,,2h 15m,135,Action
Mr. Bachchan,3.6,,2h 30m,150,Action
The Experts,6.1,,2h 1m,121,Action
Black Creek,7.7,,1h 56m,116,Action
Go for Broke,5.7,,1h 55m,115,Action
Babu,7.4,,2h 22m,142,Action
Eye for an Eye 2,6.6,,1h 30m,90,Action
Crosspoint,6.5,,1h 40m,100,Action
Ayalaan,6.0,,2h 35m,155,Action
Iron Fighter,3.7,,1h 20m,80,Action
The Day Everything Changed,8.0,,1h 37m,97,Action
Lal Salaam,4.5,,2h 30m,150,Action
Midas,4.7,,1h 25m,85,Action
Mobile Suit Gundam SEED Freedom,6.6,,2h 4m,124,Action
Paradise,6.9,,1h 23m,83,Action
Rendel: Cycle of Revenge,3.6,,1h 39m,99,Action
(Pri)sons,5.0,,1h 40m,100,Action
Breaking and Re-entering,5.8,,1h 49m,109,Action
The Plot,4.8,,1h 40m,100,Action
Baki Hanma VS Kengan Ashura,5.7,,1h 2m,62,Action
UmroAyyar - A New Beginning,6.9,,2h 15m,135,Action
Purushothamudu,5.1,,2h,120,Action
Bidurbhai,9.2,,2h 28m,148,Action
Aserb: The Squadron,5.2,,2h,120,Action
Sikaar,8.3,,2h 30m,150,Action
6 Hours Away,3.9,,1h 33m,93,Action
Kizumonogatari: Koyomi Vamp,7.0,,2h 24m,144,Action
Harom Hara,6.6,,2h 34m,154,Action
Gandhi 3,5.5,,2h 23m,143,Action
Yuva,5.8,,2h 33m,153,Action
Appudo Ippudo Eppudo,4.7,,2h,120,Action
Hit List,5.5,,2h 5m,125,Action
Road Wars: Max Fury,2.0,,1h 23m,83,Action
Ruslaan,3.3,,2h,120,Action
Malayalee from India,5.6,,2h 40m,160,Action
Fighting the Fire,8.5,,1h 55m,115,Action
Bangkok Breaking: Heaven and Hell,5.8,,2h 26m,146,Action
Star Abyss,3.8,,1h 26m,86,Action
Siren,6.4,,2h 34m,154,Action
Sabari,6.5,,2h 9m,129,Action
They Call Her Death,6.8,,1h 32m,92,Action
Bachhala Malli,8.3,,2h 20m,140,Action
Correr para Vivir,7.0,,1h 37m,97,Action
The Heist,6.9,,2h,120,Action
Anunnakiler,2.5,,1h 16m,76,Action
First Nights at Freddy's,9.3,,1h 38m,98,Action
Hunt the Wicked,5.3,,1h 42m,102,Action
Malaikottai Vaaliban,6.0,,2h 36m,156,Action
Bureau 749,4.0,,2h 3m,123,Action
Double Ismart,2.9,,2h 36m,156,Action
Samandar,7.7,,2h 52m,172,Action
Operation Valentine,5.3,,2h 13m,133,Action
The Traveller,5.2,,2h 14m,134,Action
Alangu,8.1,,2h 11m,131,Action
The Actor,3.4,,2h 8m,128,Action
Drive,5.6,,1h 30m,90,Action
Kondal,5.4,,2h 27m,147,Action
Clownface 3,9.0,,1h 44m,104,Action
My Fathers' Daughter,6.7,,1h 18m,78,Action
The Lost Tiger,7.9,,1h 30m,90,Action
Bohurupi,8.3,,2h 35m,155,Action
The Epidemic,5.7,,1h 35m,95,Action
The Unbreakable Bunch,7.3,,R,0,Action
12 Gaun,6.3,,2h 27m,147,Action
Fyre Rises,6.5,,1h 50m,110,Action
Bhaje Vaayu Vegam,6.1,,2h 16m,136,Action
Shark Island,3.2,,1h 21m,81,Action
Buddy,3.8,,2h 17m,137,Action
Die Chaosschwestern und Pinguin Paul,5.7,,1h 40m,100,Action
Memes & Nightmares,5.7,,1h 21m,81,Action
Zebra,7.2,,2h 44m,164,Action
Camp Blood: Clown Shark,3.3,,1h 10m,70,Action
Jorge da Capadócia,6.4,,1h 59m,119,Action
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,6.9,,1h 30m,90,Action
Turbo,5.9,,2h 35m,155,Action
Captain Miller,6.5,,2h 37m,157,Action
Where Is Gilgamesh?,9.0,,1h 30m,90,Action
Mazhai Pidikatha Manithan,4.5,,2h 13m,133,Action
Game On,5.3,,2h 20m,140,Action
Hitler,5.2,,2h 8m,128,Action
Por,5.1,,2h 34m,154,Action
Prepare to Die,4.6,,1h 33m,93,Action
Red vs. Blue: Restoration,5.6,,1h 25m,85,Action
Tòkunbò,3.9,,1h 53m,113,Action
Sucha Soorma,6.4,,2h 16m,136,Action
Mummy Shark,2.0,,1h 6m,66,Action
Buying Time,6.2,,1h 24m,84,Action
Ship of the Damned,2.8,,1h 28m,88,Action
Bull Shark 2,2.9,,1h 15m,75,Action
Ghosts of Red Ridge,3.3,,1h 21m,81,Action
Taklee Genesis x Worlds Collide,5.4,,2h 26m,146,Action
Bastar: The Naxal Story,6.4,,2h 4m,124,Action
The Mick and the Trick,4.9,,1h 36m,96,Action
Mission: Chapter 1,5.9,,2h 24m,144,Action
Ameena,6.4,,1h 47m,107,Action
Spirit Riser,6.7,,1h 38m,98,Action
Touchdown,6.8,,1h 18m,78,Action
Speed 220,6.8,,1h 54m,114,Action
Echo 8,3.9,,1h 36m,96,Action
The Desperate Chase,5.5,,1h 50m,110,Action
The Omicron Killer,2.9,,1h 38m,98,Action
Sayen: The Huntress,4.4,,1h 28m,88,Action
Agastya - Chapter 1,6.9,,2h 48m,168,Action
Matka,4.7,,2h 36m,156,Action
Gangs of Godavari,5.0,,2h 45m,165,Action
Ame no naka no yokujô,5.9,,2h 12m,132,Action
Losing Lerato 2,9.1,,1h 36m,96,Action
Kung Fu Games,3.3,,1h 38m,98,Action
Diabel,5.1,,1h 48m,108,Action
Shu Si Yi Bo,6.7,,1h 31m,91,Action
Guy Manley: Super Spy,4.4,,1h 32m,92,Action
Ballistic,2.2,,1h 35m,95,Action
The Circuit 4: Faith Fighter,4.3,,1h 30m,90,Action
I Am What I Am 2,7.5,,2h 14m,134,Action
DNA,5.1,,2h 36m,156,Action
The Last Chainsaw Massacre,3.7,,1h 15m,75,Action
Vixen,5.3,,1h 28m,88,Action
Young Lion of the West,5.2,,1h 33m,93,Action
Sunfall,2.3,,1h 14m,74,Action
Onsen shâku,5.9,,1h 10m,70,Action
Panjab Files,8.2,,1h 57m,117,Action
Mathu Vadalara 2,7.0,,2h 19m,139,Action
Clone Cops,6.2,,1h 36m,96,Action
Saindhav,5.1,,2h 18m,138,Action
Blade of Fury,6.1,,1h 30m,90,Action
Jathara,7.8,,2h 9m,129,Action
How to Make a Werewolf,5.9,,16+,0,Action
Mutant,4.5,,1h 30m,90,Action
High Forces,5.7,,1h 59m,119,Action
Bonus Trip,4.6,,1h 53m,113,Action
Formed Police Unit,4.6,,2h,120,Action
Sous écrous,5.3,,1h 51m,111,Action
Tokusou Sentai Dekaranger 20th: Fireball Booster,7.0,,50m,50,Action
The Infallibles,4.8,,1h 39m,99,Action
Dange,5.3,,2h 34m,154,Action
Transformers Prime: Galavatron's Revenge,3.4,,1h 44m,104,Action
Raju Gari Ammayi Naidu Gari Abbayi,8.2,,2h 38m,158,Action
Kill Craft,2.4,,1h 39m,99,Action
24 Hours to D-Day,4.8,,1h 23m,83,Action
Rebel,3.1,,1h 40m,100,Action
Thundu,5.0,,2h 5m,125,Action
The Grey Men,6.4,,1h 37m,97,Action
Marni: The Story of Wewe Gombel,5.8,,1h 59m,119,Action
The Wild Blade of Strangers,6.2,,1h 42m,102,Action
Oru Anveshanathinte Thudakkam,7.1,,3h 1m,181,Action
Black Storm,6.7,,1h 37m,97,Action
Dragon Ball Z Kai,8.5,,1h 22m,82,Action
Bhairadevi,8.7,,2h 14m,134,Action
The Miranda Brothers,4.4,,1h 39m,99,Action
Ape X Mecha Ape: New World Order,2.8,,1h 27m,87,Action
Jithender Reddy,7.9,,2h 16m,136,Action
Kali,5.1,,1h 36m,96,Action
Shekko,6.0,,2h,120,Action
In Tenebras: Into the Darkness,3.3,,1h 30m,90,Action
Indrani: Epic-1 Dharam vs Karam,7.6,,2h 37m,157,Action
Dreams,7.6,,1h 46m,106,Action
Karma,4.1,,1h 51m,111,Action
Sector 17,5.5,,2h 26m,146,Action
Gam Gam Ganesha,5.3,,2h 20m,140,Action
Serra das Almas,5.4,,2h,120,Action
Devaki Nandana Vasudeva,6.6,,2h 8m,128,Action
Desperado,5.9,,1h 40m,100,Action
Athhoi,8.0,,2h 38m,158,Action
Kadakan,4.0,,2h 8m,128,Action
Gold Raiders,2.0,,1h 28m,88,Action
Soodhu Kavvum 2: Naatum Naatu Makkalum,3.7,,2h 9m,129,Action
Bandaa Singh Chaudhary,6.2,,1h 53m,113,Action
Texas Twister,2.5,,1h 28m,88,Action
Captain Avispa,5.8,,1h 36m,96,Action
Kamen Rider 555 20th: Paradise Regained,5.9,,1h 5m,65,Action
Death Game,6.3,,1h 28m,88,Action
Honeko Akabane's Bodyguards,5.9,,1h 57m,117,Action
Saint Young Men: Holy Men vs Demon Army,3.0,,1h 33m,93,Action
Bond of Justice: Kizuna Part I - Encounter,6.2,,1h 32m,92,Action
Hell City,9.1,,1h 30m,90,Action
Next to Us,4.8,,2h 5m,125,Action
The Vampire and the Vigilante,3.6,,1h 15m,75,Action
Rang De Basanti,8.8,,2h 54m,174,Action
Polar,4.4,,1h 16m,76,Action
Love You as the World Ends Final,6.3,,1h 55m,115,Action
The Alexandrian,3.8,,1h 44m,104,Action
Shadows of Betrayal: Chronicles of Ian Blair,7.3,,1h 5m,65,Action
Hiranya,5.6,,2h 18m,138,Action
London Gangsters,4.3,,1h 44m,104,Action
SCP: The Infinite Mission,6.0,,16+,0,Action
Too Little Too Late,5.5,,1h 6m,66,Action
Lisabi: The Uprising,6.1,,1h 47m,107,Action
Uninvited,6.5,,1h 33m,93,Action
Türkler Çildirmis Olmali 2: Mavi Vatan,2.2,,1h 40m,100,Action
Fuuto PI: Portrait of Kamen Rider Skull,7.5,,1h 22m,82,Action
Dark Fusion,8.5,,1h 30m,90,Action
Neon Fear,5.8,,40m,40,Action
Reloaded 2,7.7,,45m,45,Action
The Evil Three,6.6,,30m,30,Action
Sumaho o otoshita dake na no ni: Saishusho Final Hacking Game,7.0,,1h 56m,116,Action
Hrashwo Deergha,8.0,,2h 30m,150,Action
The Slave and the Sorcerer,6.7,,1h 26m,86,Action
Revenge,1.7,,2h 7m,127,Action
Gone with the Dead,4.4,,1h 36m,96,Action
Anchakkallakokkan,6.6,,2h 6m,126,Action
Megdan: Between Water and Fire,5.4,,1h 46m,106,Action
Chasing Raine,2.3,,1h 41m,101,Action
Pottel,8.2,,2h 28m,148,Action
Marine Drive,9.5,,1h 45m,105,Action
Exorcism Chronicles: The Beginning,7.1,,1h 25m,85,Action
Weapon,5.4,,2h,120,Action
Tariq,6.2,,2h 2m,122,Action
Sentimentaaal,5.3,,2h 15m,135,Action
What Happens in Miami,4.3,,1h 30m,90,Action
Mechanic Rocky,6.5,,2h 36m,156,Action
Dünya Mali: Eksi Bir,7.2,,2h 13m,133,Action
Saala,5.7,,2h 10m,130,Action
Viswam,4.2,,2h 35m,155,Action
Deadzone,4.1,,1h 20m,80,Action
Stranded Pearl,6.0,,1h 30m,90,Action
Bhimaa,5.1,,2h 21m,141,Action
Bloodline,9.2,,1h 20m,80,Action
Pranaya Godari,7.8,,2h 28m,148,Action
Witch Hunter,5.3,,1h 20m,80,Action
Sacrum Vindictae II,4.5,,1h 54m,114,Action
Permafrost,5.7,,1h 20m,80,Action
South Side Hero,5.4,,1h 32m,92,Action
Yakuza Girl,2.3,,1h 22m,82,Action
Genis Aile 4: Cevahir & Ulvi,7.0,,1h 30m,90,Action
Lie Zhan,6.9,,1h 33m,93,Action
Gravediggers,6.5,,1h 31m,91,Action
Brattt,4.7,,1h 57m,117,Action
Second Life,6.7,,1h 45m,105,Action
