Title,Rating,Voting,Duration,genre
119. The Roundup: Punishment,6.6, (5.3K),1h 49m,action
120. Sikandar Ka Muqaddar,6.0, (24K),2h 22m,action
121. River of Blood,5.2, (1.8K),1h 26m,action
122. Levels,5.0, (1.5K),1h 33m,action
123. Darkness of Man,4.8, (3.2K),1h 49m,action
124. The Quiet Ones,6.3, (694),1h 50m,action
125. One More Shot,5.4, (3.7K),1h 43m,action
126. Zero,6.1, (71),1h 28m,action
"127. I, the Executioner",6.4, (1.8K),1h 58m,action
128. Jigra,6.0, (24K),2h 33m,action
129. Prey,3.7, (3.3K),1h 26m,action
130. Devara Part 1,6.0, (20K),2h 56m,action
131. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.5K),1h 34m,action
132. Badland Hunters,5.9, (12K),1h 47m,action
133. The Last of Us: Immunity,5.0, (20),1h 4m,action
134. My Hero Academia: You're Next,7.0, (2.2K),1h 50m,action
135. Aavesham,7.8, (28K),2h 35m,action
136. London Calling,7.5, (23),1h 49m,action
137. Sunray: Fallen Soldier,4.3, (641),1h 55m,action
138. Code 8: Part II,5.7, (16K),1h 40m,action
139. Raqa,5.6, (218),1h 47m,action
140. Striking Rescue,5.7, (435),1h 46m,action
141. Ultraman: Rising,6.9, (6.4K),1h 57m,action
142. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1, (8.5K),1h 44m,action
143. The Price of Money: A Largo Winch Adventure,5.0, (1.2K),1h 40m,action
144. Dominique,5.3, (2.2K),1h 40m,action
145. The Clean Up Crew,4.1, (1.2K),1h 35m,action
146. Utopia,3.6, (363),1h 31m,action
147. Officer Black Belt,6.8, (8.3K),1h 48m,action
148. Mafia Wars,3.4, (243),1h 34m,action
149. Air Force One Down,4.4, (2.9K),1h 24m,action
150. Death Whisperer 2,6.4, (1.4K),1h 50m,action
151. Dan Da Dan: First Encounter,8.2, (2.7K),1h 23m,action
152. Joe Baby,7.4, (32),1h 26m,action
153. The Wages of Fear,4.6, (4.1K),1h 44m,action
154. Night Call,6.8, (2K),1h 37m,action
155. Pani,6.9, (3K),2h 23m,action
156. KA,7.1, (1.6K),2h 31m,action
157. Simarik,6.5, (2.7K),1h 51m,action
158. Anaconda,4.9, (637),1h 24m,action
159. Cesium Fallout,6.4, (708),2h 16m,action
160. Dark Match,5.4, (956),1h 34m,action
161. Latency,4.2, (2.6K),1h 34m,action
162. Article 370,7.8, (25K),2h 38m,action
163. The Family Star,5.4, (5.5K),2h 39m,action
164. Life After Fighting,6.4, (2K),2h 6m,action
165. Kill Em All 2,4.1, (1.3K),1h 28m,action
166. One Fast Move,5.0, (2.2K),1h 48m,action
168. 40 Acres,6.9, (137),1h 53m,action
169. Rogue Elements: A Ryan Drake Story,4.7, (981),44m,action
170. Murder Company,3.7, (1.6K),1h 26m,action
171. Elyas,6.1, (1.4K),1h 45m,action
172. Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.3K),1h 34m,action
173. Bougainvillea,6.4, (3.2K),2h 18m,action
174. 200% Wolf,5.9, (1.3K),1h 38m,action
175. Savi,6.1, (35K),2h 6m,action
176. Handsome Guys,6.5, (850),1h 41m,action
177. Lights Out,4.9, (1.8K),1h 30m,action
178. Rifle Club,7.0, (4.3K),1h 53m,action
179. Angels Fallen: Warriors of Peace,4.9, (5.8K),1h 43m,action
180. The Greatest of All Time,5.7, (22K),3h 3m,action
181. Alienoid: The Return to the Future,6.5, (2.6K),2h 2m,action
182. Sixty Minutes,5.7, (5.2K),1h 28m,action
183. City Hunter,6.3, (5.6K),1h 42m,action
184. Vanvaas,6.6, (1.4K),2h 40m,action
185. The Twisters,2.5, (341),1h 26m,action
186. Panda Plan,5.1, (1.3K),1h 39m,action
187. Escape,6.4, (2K),1h 34m,action
188. Bloody Escape: Bats out of Hell,5.5, (50),1h 40m,action
189. The Tiger's Apprentice,5.7, (2.2K),1h 24m,action
190. Arena Wars,4.8, (2.1K),1h 36m,action
191. Sorgavaasal,6.6, (1.4K),2h 18m,action
192. Golden Kamuy,6.3, (2.6K),2h 7m,action
193. Overlord: The Sacred Kingdom,6.9, (998),2h 15m,action
194. Saripodhaa Sanivaaram,7.0, (9.1K),2h 46m,action
195. Agent Recon,2.4, (678),1h 25m,action
196. All the Lost Ones,3.7, (251),1h 46m,action
197. Heart of the Hunter,4.7, (2.2K),1h 45m,action
198. Freedom,5.9, (1.4K),1h 50m,action
199. Khadaan,7.1, (2.1K),2h 17m,action
200. Agni,7.2, (15K),2h 2m,action
201. Paradox Effect,6.0, (8.6K),1h 27m,action
202. Operation Blood Hunt,3.4, (489),1h 33m,action
203. Wynonna Earp: Vengeance,5.6, (1.5K),1h 36m,action
204. Everybody Loves Jenifa,8.3, (88),2h 15m,action
205. The Last Kumite,4.6, (2.3K),1h 45m,action
206. Hijack 1971,6.8, (3.3K),1h 40m,action
207. Bade Miyan Chote Miyan,3.8, (39K),2h 43m,action
208. Die Hart 2: Die Harter,4.3, (5.5K),1h 32m,action
209. Outlaw,5.2, (936),1h 22m,action
210. Sheriff,6.9, (1.1K),2h 13m,action
211. Kahar: Kapla High Council,6.9, (465),1h 42m,action
212. Kanguva,4.5, (15K),2h 32m,action
213. How to Rob a Bank,6.6, (4.2K),1h 28m,action
214. Bad Boyz,3.2, (684),2h 30m,action
215. Guntur Kaaram,5.4, (25K),2h 39m,action
216. Yodha,5.7, (8.9K),2h 10m,action
217. A.R.M,7.1, (8.7K),2h 30m,action
218. Hellhound,4.3, (507),1h 43m,action
219. Tales Beyond the Galaxy,4.7, (182),1h 16m,action
220. Devil's Knight,5.2, (899),1h 30m,action
221. 72 Hours,4.1, (288),1h 27m,action
